domain,registrierbar,preis,waehrung,tier,grund,score,kategorie,quelle
pelja.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Zweisilbig, Katja/Sonja-Muster -- einmal hoeren, richtig schreiben",92.33,"Kunstwort, fuenf Zeichen",M
iljon.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Vokalanlaut wie Okta und Orbis, klingt wie ein lateinischer Eigenname",89.37,"Kunstwort, fuenf Zeichen",M
nulja.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Fuer den IT-Leser steckt `null` darin, ohne dass der Name danach schreit",91.13,"Kunstwort, fuenf Zeichen",M
ritja.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Harter Anlaut, weicher Schluss -- der Kontrast, der Marken traegt",91.73,"Kunstwort, fuenf Zeichen",M
gelja.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Weich, zweisilbig, unverbraucht",92.33,"Kunstwort, fuenf Zeichen",M
hirja.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Klarer Wortkoerper, offener Schluss",91.73,"Kunstwort, fuenf Zeichen",M
otjan.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Vokalanlaut, nuechterner Konsonantenschluss",89.43,"Kunstwort, fuenf Zeichen",M
galjo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Offener o-Schluss, klingt nach Produktname",88.81,"Kunstwort, fuenf Zeichen",M
iljor.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; -or wie Motor, Sensor, Reaktor",89.37,"Kunstwort, fuenf Zeichen",M
reljo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Gleichmaessiger Fluss, zwei verschiedene Vokale",88.21,"Kunstwort, fuenf Zeichen",M
etjan.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Hell, sachlich",89.43,"Kunstwort, fuenf Zeichen",M
naljo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Weich, gut sprechbar",88.81,"Kunstwort, fuenf Zeichen",M
ratjo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Anklang an ratio, ohne es zu sein",88.81,"Kunstwort, fuenf Zeichen",M
lerjo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Ruhiger Klang",88.21,"Kunstwort, fuenf Zeichen",M
itjor.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; -or-Schluss, vokalanlautend",89.37,"Kunstwort, fuenf Zeichen",M
feljo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; f gibt Kante, l traegt",88.21,"Kunstwort, fuenf Zeichen",M
firjo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Hell, kurz, klar",88.21,"Kunstwort, fuenf Zeichen",M
uriha.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; r-h-Fuge wie in erholen -- hoerbar, kein Dehnungs-h",98.50,"Kunstwort, fuenf Zeichen",M
onjis.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; -is wie Latein",89.95,"Kunstwort, fuenf Zeichen",M
jofir.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; j-Anlaut wie Jahr, jetzt",85.89,"Kunstwort, fuenf Zeichen",M
jutma.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; j-Anlaut, tm-Gelenk wie in atmen",91.13,"Kunstwort, fuenf Zeichen",M
urjis.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; -is, vokalanlautend",89.35,"Kunstwort, fuenf Zeichen",M
erjis.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Hell, -is",89.95,"Kunstwort, fuenf Zeichen",M
oljar.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; -ar-Schluss",89.43,"Kunstwort, fuenf Zeichen",M
riljo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Sehr weich",88.21,"Kunstwort, fuenf Zeichen",M
retjo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Kurz, sachlich",88.21,"Kunstwort, fuenf Zeichen",M
nitjo.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; Hell",88.21,"Kunstwort, fuenf Zeichen",M
atjor.com,wahrscheinlich,,,,"RDAP 404, nicht in der Registry (DNS: free), geprueft 2026-08-14; -or-Schluss",89.97,"Kunstwort, fuenf Zeichen",M
